,Date,Open,High,Low,Close,Volume,Market Cap
0,2017-09-22,3628.02,3758.27,3553.53,3630.7,1194830000.0,60152300000
1,2017-09-21,3901.47,3916.42,3613.63,3631.04,1411480000.0,64677600000
2,2017-09-20,3916.36,4031.39,3857.73,3905.95,1213830000.0,64918500000
3,2017-09-19,4073.79,4094.07,3868.87,3924.97,1563980000.0,67520300000
4,2017-09-18,3591.09,4079.23,3591.09,4065.2,1943210000.0,59514100000
5,2017-09-17,3606.28,3664.81,3445.64,3582.88,1239150000.0,59757800000
6,2017-09-16,3637.75,3808.84,3487.79,3625.04,1818400000.0,60271600000
7,2017-09-15,3166.3,3733.45,2946.62,3637.52,4148070000.0,52453500000
8,2017-09-14,3875.37,3920.6,3153.86,3154.95,2716310000.0,64191600000
9,2017-09-13,4131.98,4131.98,3789.92,3882.59,2219410000.0,68432200000
10,2017-12-09,4168.88,4344.65,4085.22,4130.81,1864530000.0,69033400000
11,2017-11-09,4122.47,4261.67,4099.4,4161.27,1557330000.0,68256000000
12,2017-10-09,4229.34,4245.44,3951.04,4122.94,1679090000.0,70018100000
13,2017-09-09,4229.81,4308.82,4114.11,4226.06,1386230000.0,70017200000
14,2017-08-09,4605.16,4661.0,4075.18,4228.75,2700890000.0,76220200000
15,2017-07-09,4589.14,4655.04,4491.33,4599.88,1844620000.0,75945000000
16,2017-06-09,4376.59,4617.25,4376.59,4597.12,2172100000.0,72418700000
17,2017-05-09,4228.29,4427.84,3998.11,4376.53,2697970000.0,69954400000
18,2017-04-09,4591.63,4591.63,4108.4,4236.31,2987330000.0,75955500000
19,2017-03-09,4585.27,4714.08,4417.59,4582.96,1933190000.0,75841700000
20,2017-02-09,4901.42,4975.04,4469.24,4578.77,2722140000.0,81060600000
21,2017-01-09,4701.76,4892.01,4678.53,4892.01,2599080000.0,77748400000
22,2017-08-31,4555.59,4736.05,4549.4,4703.39,1944930000.0,75322300000
23,2017-08-30,4570.36,4626.52,4471.41,4565.3,1937850000.0,75556600000
24,2017-08-29,4389.21,4625.68,4352.13,4579.02,2486080000.0,72553800000
25,2017-08-28,4384.45,4403.93,4224.64,4382.66,1959330000.0,72467900000
26,2017-08-27,4345.1,4416.59,4317.29,4382.88,1537460000.0,71809200000
27,2017-08-26,4372.06,4379.28,4269.52,4352.4,1511610000.0,72249100000
28,2017-08-25,4332.82,4455.7,4307.35,4371.6,1727970000.0,71595100000
29,2017-08-24,4137.6,4376.39,4130.26,4334.68,2037750000.0,68363900000
30,2017-08-23,4089.01,4255.78,4078.41,4151.52,2369820000.0,67553000000
31,2017-08-22,3998.35,4128.76,3674.58,4100.52,3764240000.0,66051000000
32,2017-08-21,4090.48,4109.14,3988.6,4001.74,2800890000.0,67567100000
33,2017-08-20,4189.31,4196.29,4069.88,4087.66,2109770000.0,69192700000
34,2017-08-19,4137.75,4243.26,3970.55,4193.7,2975820000.0,68333100000
35,2017-08-18,4324.34,4370.13,4015.4,4160.62,2941710000.0,71406500000
36,2017-08-17,4384.44,4484.7,4243.71,4331.69,2553360000.0,72389100000
37,2017-08-16,4200.34,4381.23,3994.42,4376.63,2272040000.0,69342700000
38,2017-08-15,4326.99,4455.97,3906.18,4181.93,3258050000.0,71425500000
39,2017-08-14,4066.1,4325.13,3989.16,4325.13,2463090000.0,67112300000
40,2017-08-13,3880.04,4208.39,3857.8,4073.26,3159090000.0,64034100000
41,2017-12-08,3650.63,3949.92,3613.7,3884.71,2219590000.0,60242100000
42,2017-11-08,3373.82,3679.72,3372.12,3650.62,2021190000.0,55668000000
43,2017-10-08,3341.84,3453.45,3319.47,3381.28,1515110000.0,55134700000
44,2017-09-08,3420.4,3422.76,3247.67,3342.47,1468960000.0,56424900000
45,2017-08-08,3370.22,3484.85,3345.83,3419.94,1752760000.0,55590300000
46,2017-07-08,3212.78,3397.68,3180.89,3378.94,1482280000.0,52987300000
47,2017-06-08,3257.61,3293.29,3155.6,3213.94,1105030000.0,53720900000
48,2017-05-08,2897.63,3290.01,2874.83,3252.91,1945700000.0,47778200000
49,2017-04-08,2806.93,2899.33,2743.72,2895.89,1002120000.0,46276200000
50,2017-03-08,2709.56,2813.31,2685.14,2804.73,804797000.0,44666400000
51,2017-02-08,2727.13,2762.53,2668.59,2710.67,1094950000.0,44950800000
52,2017-01-08,2871.3,2921.35,2685.61,2718.26,1324670000.0,47321800000
53,2017-07-31,2763.24,2889.62,2720.61,2875.34,860575000.0,45535800000
54,2017-07-30,2724.39,2758.53,2644.85,2757.18,705943000.0,44890700000
55,2017-07-29,2807.02,2808.76,2692.8,2726.45,803746000.0,46246700000
56,2017-07-28,2679.73,2897.45,2679.73,2809.01,1380100000.0,44144400000
57,2017-07-27,2538.71,2693.32,2529.34,2671.78,789104000.0,41816500000
58,2017-07-26,2577.77,2610.76,2450.8,2529.45,937404000.0,42455000000
59,2017-07-25,2757.5,2768.08,2480.96,2576.48,1460090000.0,45410100000
60,2017-07-24,2732.7,2777.26,2699.19,2754.86,866474000.0,44995600000
61,2017-07-23,2808.1,2832.18,2653.94,2730.4,1072840000.0,46231100000
62,2017-07-22,2668.63,2862.42,2657.71,2810.12,1177130000.0,43929600000
63,2017-07-21,2838.41,2838.41,2621.85,2667.76,1489450000.0,46719000000
64,2017-07-20,2269.89,2900.7,2269.89,2817.6,2249260000.0,37356800000
65,2017-07-19,2323.08,2397.17,2260.23,2273.43,1245100000.0,38227800000
66,2017-07-18,2233.52,2387.61,2164.77,2318.88,1512450000.0,36749400000
67,2017-07-17,1932.62,2230.49,1932.62,2228.41,1201760000.0,31795000000
68,2017-07-16,1991.98,2058.77,1843.03,1929.82,1182870000.0,32767600000
69,2017-07-15,2230.12,2231.14,1990.41,1998.86,993608000.0,36681300000
70,2017-07-14,2360.59,2363.25,2183.22,2233.34,882503000.0,38823100000
71,2017-07-13,2402.7,2425.22,2340.83,2357.9,835770000.0,39511000000
72,2017-12-07,2332.77,2423.71,2275.14,2398.84,1117410000.0,38355900000
73,2017-11-07,2385.89,2413.47,2296.81,2337.79,1329760000.0,39224200000
74,2017-10-07,2525.25,2537.16,2321.13,2372.56,1111200000.0,41509000000
75,2017-09-07,2572.61,2635.49,2517.59,2518.44,527856000.0,42283200000
76,2017-08-07,2520.27,2571.34,2492.31,2571.34,733330000.0,41417700000
77,2017-07-07,2608.59,2916.14,2498.87,2518.66,917412000.0,42864200000
78,2017-06-07,2608.1,2616.72,2581.69,2608.56,761957000.0,42851400000
79,2017-05-07,2602.87,2622.65,2538.55,2601.99,941566000.0,42760800000
80,2017-04-07,2561.0,2631.59,2559.35,2601.64,985516000.0,42067900000
81,2017-03-07,2498.56,2595.0,2480.47,2564.06,964112000.0,41037200000
82,2017-02-07,2436.4,2514.28,2394.84,2506.47,803747000.0,40010500000
83,2017-01-07,2492.6,2515.27,2419.23,2434.55,779914000.0,40928200000
84,2017-06-30,2539.24,2559.25,2478.43,2480.84,860273000.0,41689100000
85,2017-06-29,2567.56,2588.83,2510.48,2539.32,949979000.0,42150300000
86,2017-06-28,2553.03,2603.98,2484.42,2574.79,1183870000.0,41906700000
87,2017-06-27,2478.45,2552.45,2332.99,2552.45,1489790000.0,40677900000
88,2017-06-26,2590.57,2615.25,2376.29,2478.45,1663280000.0,42514000000
89,2017-06-25,2607.25,2682.26,2552.12,2589.41,1161100000.0,42783800000
90,2017-06-24,2738.52,2757.94,2583.19,2608.72,982750000.0,44932900000
91,2017-06-23,2707.34,2765.17,2706.37,2744.91,961319000.0,44415900000
92,2017-06-22,2691.03,2723.74,2642.36,2705.41,1097940000.0,44143700000
93,2017-06-21,2709.43,2772.01,2660.4,2689.1,1626580000.0,44440800000
94,2017-06-20,2591.26,2763.45,2589.82,2721.79,1854190000.0,42498000000
95,2017-06-19,2549.03,2662.85,2549.03,2589.6,1446840000.0,41800600000
96,2017-06-18,2655.35,2662.1,2516.33,2548.29,1178660000.0,43539300000
97,2017-06-17,2514.01,2685.19,2484.96,2655.88,1534510000.0,41217200000
98,2017-06-16,2469.57,2539.92,2385.15,2518.56,1195190000.0,40484100000
99,2017-06-15,2499.58,2534.71,2212.96,2464.58,2026260000.0,40971300000
100,2017-06-14,2716.88,2786.83,2412.94,2506.37,1696560000.0,44528300000
101,2017-06-13,2680.91,2789.04,2650.38,2717.02,1781200000.0,43934100000
102,2017-12-06,2953.22,2997.26,2518.56,2659.63,2569530000.0,48391200000
103,2017-11-06,2942.41,2996.6,2840.53,2958.11,1752400000.0,48208700000
104,2017-10-06,2828.14,2950.99,2746.55,2947.71,2018890000.0,46331400000
105,2017-09-06,2807.44,2901.71,2795.62,2823.81,1348950000.0,45987100000
106,2017-08-06,2720.49,2815.3,2670.95,2805.62,1281170000.0,44557100000
107,2017-07-06,2869.38,2869.38,2700.56,2732.16,1517710000.0,46989800000
108,2017-06-06,2690.84,2999.91,2690.84,2863.2,2089610000.0,44061000000
109,2017-05-06,2512.4,2686.81,2510.22,2686.81,1369310000.0,41133900000
110,2017-04-06,2547.79,2585.89,2452.54,2511.81,1355120000.0,41708200000
111,2017-03-06,2493.72,2581.91,2423.57,2515.35,1514950000.0,40817100000
112,2017-02-06,2404.03,2488.55,2373.32,2488.55,1317030000.0,39344600000
113,2017-01-06,2288.33,2448.39,2288.33,2407.88,1653180000.0,37446200000
114,2017-05-31,2187.19,2311.08,2145.57,2286.41,1544830000.0,35786700000
115,2017-05-30,2255.36,2301.96,2124.57,2175.47,1443970000.0,36897000000
116,2017-05-29,2159.43,2307.05,2107.17,2255.61,994625000.0,35323500000
117,2017-05-28,2054.08,2267.34,2054.08,2155.8,1147140000.0,33595900000
118,2017-05-27,2196.27,2260.2,1855.83,2038.87,1700480000.0,35917100000
119,2017-05-26,2320.89,2573.79,2071.99,2202.42,1763480000.0,37950600000
120,2017-05-25,2446.24,2763.71,2285.3,2304.98,2406700000.0,39995400000
121,2017-05-24,2321.37,2523.72,2321.37,2443.64,1725380000.0,37949200000
122,2017-05-23,2191.56,2320.82,2178.5,2320.42,1378750000.0,35822600000
123,2017-05-22,2043.19,2303.9,2017.87,2173.4,1942220000.0,33393600000
124,2017-05-21,2067.03,2119.08,2037.5,2041.2,1147860000.0,33779400000
125,2017-05-20,1984.24,2084.73,1974.92,2084.73,961336000.0,32422400000
126,2017-05-19,1897.37,2004.52,1890.25,1987.71,1157290000.0,30999000000
127,2017-05-18,1818.7,1904.48,1807.12,1888.65,894321000.0,29710500000
128,2017-05-17,1726.73,1864.05,1661.91,1839.09,1064730000.0,28204800000
129,2017-05-16,1741.7,1785.94,1686.54,1734.45,959045000.0,28446300000
130,2017-05-15,1808.44,1812.8,1708.54,1738.43,731529000.0,29532600000
131,2017-05-14,1800.86,1831.42,1776.62,1808.91,437196000.0,29405100000
132,2017-05-13,1723.12,1812.99,1651.08,1804.91,579635000.0,28132300000
133,2017-12-05,1845.76,1856.15,1694.01,1724.24,740984000.0,30131100000
134,2017-11-05,1780.37,1873.93,1755.35,1848.57,799490000.0,29060600000
135,2017-10-05,1756.52,1788.44,1719.1,1787.13,915723000.0,28668100000
136,2017-09-05,1723.89,1833.49,1716.3,1755.36,1167920000.0,28132200000
137,2017-08-05,1596.92,1723.35,1596.92,1723.35,1340320000.0,26056500000
138,2017-07-05,1579.47,1596.72,1559.76,1596.71,1080030000.0,25768500000
139,2017-06-05,1556.81,1578.8,1542.5,1578.8,582530000.0,25395600000
140,2017-05-05,1540.87,1618.03,1530.31,1555.45,946036000.0,25133100000
141,2017-04-05,1490.72,1608.91,1490.72,1537.67,933549000.0,24311900000
142,2017-03-05,1453.78,1492.77,1447.49,1490.09,583796000.0,23707100000
143,2017-02-05,1421.03,1473.9,1415.69,1452.82,477338000.0,23170200000
144,2017-01-05,1348.3,1434.32,1348.3,1421.6,713624000.0,21981800000
145,2017-04-30,1321.87,1347.91,1314.92,1347.89,413115000.0,21548400000
146,2017-04-29,1317.84,1327.2,1315.21,1321.79,422706000.0,21479800000
147,2017-04-28,1317.74,1331.28,1292.37,1316.48,527489000.0,21476000000
148,2017-04-27,1281.88,1319.7,1281.3,1317.73,449197000.0,20889200000
149,2017-04-26,1265.99,1294.83,1265.93,1281.08,329631000.0,20627900000
150,2017-04-25,1250.45,1267.58,1249.97,1265.49,242556000.0,20372300000
151,2017-04-24,1209.63,1250.94,1209.63,1250.15,235806000.0,19705400000
152,2017-04-23,1231.92,1232.2,1203.94,1207.21,258951000.0,20066200000
153,2017-04-22,1222.71,1235.56,1208.47,1231.71,249320000.0,19913900000
154,2017-04-21,1229.42,1235.94,1215.56,1222.05,272167000.0,20020700000
155,2017-04-20,1211.08,1240.79,1208.41,1229.08,315108000.0,19719900000
156,2017-04-19,1212.13,1215.51,1205.08,1210.29,288061000.0,19734800000
157,2017-04-18,1193.77,1217.57,1193.77,1211.67,270524000.0,19433800000
158,2017-04-17,1183.25,1194.9,1172.65,1193.91,253206000.0,19260500000
159,2017-04-16,1172.61,1187.22,1172.61,1182.94,183231000.0,19085100000
160,2017-04-15,1167.3,1188.0,1164.96,1172.52,203559000.0,18996500000
161,2017-04-14,1170.33,1190.8,1159.79,1167.54,254827000.0,19043800000
162,2017-04-13,1201.02,1205.89,1156.44,1169.28,351969000.0,19541300000
163,2017-12-04,1204.81,1207.14,1196.76,1200.37,288702000.0,19600800000
164,2017-11-04,1187.46,1208.07,1187.46,1205.01,216182000.0,19316000000
165,2017-10-04,1187.3,1190.34,1179.04,1187.13,215883000.0,19311200000
166,2017-09-04,1176.57,1197.21,1171.86,1187.87,242343000.0,19134400000
167,2017-08-04,1172.65,1184.98,1162.58,1175.95,209312000.0,19068600000
168,2017-07-04,1178.94,1186.58,1163.39,1176.9,317022000.0,19168500000
169,2017-06-04,1125.81,1188.37,1125.81,1182.68,511222000.0,18302600000
170,2017-05-04,1134.14,1135.09,1113.63,1124.78,414784000.0,18435700000
171,2017-04-04,1145.52,1156.44,1120.52,1133.25,436310000.0,18619000000
172,2017-03-04,1102.95,1151.74,1102.95,1143.81,580444000.0,17924600000
173,2017-02-04,1080.61,1107.59,1075.45,1102.17,514187000.0,17559400000
174,2017-01-04,1071.71,1091.72,1061.09,1080.5,289634000.0,17413000000
175,2017-03-31,1026.64,1074.92,1026.64,1071.79,447287000.0,16679000000
176,2017-03-30,1042.21,1049.29,1020.04,1026.43,352969000.0,16929800000
177,2017-03-29,1046.08,1055.13,1015.88,1039.97,298458000.0,16990900000
178,2017-03-28,1044.58,1064.65,1027.73,1047.15,326332000.0,16964500000
179,2017-03-27,972.05,1046.4,971.98,1045.77,372535000.0,15785000000
180,2017-03-26,974.01,1007.96,954.19,966.73,303668000.0,15814800000
181,2017-03-25,936.54,975.76,903.71,972.78,435803000.0,15204800000
182,2017-03-24,1038.45,1040.47,934.36,937.52,491038000.0,16857000000
183,2017-03-23,1050.05,1058.01,1028.93,1038.59,248540000.0,17043400000
184,2017-03-22,1120.65,1120.65,1014.21,1049.14,380841000.0,18187100000
185,2017-03-21,1055.36,1122.43,1055.36,1120.54,337391000.0,17125600000
186,2017-03-20,1037.24,1063.03,1036.68,1054.23,286530000.0,16829800000
187,2017-03-19,976.73,1069.91,976.73,1036.74,406648000.0,15846000000
188,2017-03-18,1099.69,1114.07,957.65,973.82,621302000.0,17838700000
189,2017-03-17,1180.16,1180.16,1099.57,1100.23,706599000.0,19141800000
190,2017-03-16,1251.33,1257.98,1152.44,1187.81,638568000.0,20293700000
191,2017-03-15,1240.16,1251.61,1239.75,1249.61,297805000.0,20110400000
192,2017-03-14,1232.16,1244.81,1220.72,1240.0,245306000.0,19978200000
193,2017-03-13,1221.78,1237.37,1217.03,1231.92,380277000.0,19807700000
194,2017-12-03,1176.62,1226.98,1175.36,1221.38,227176000.0,19073300000
195,2017-11-03,1116.32,1193.83,1116.32,1175.83,283320000.0,18093700000
196,2017-10-03,1189.36,1270.47,1077.25,1116.72,563796000.0,19275300000
197,2017-09-03,1150.35,1197.46,1141.23,1188.49,212283000.0,18640900000
198,2017-08-03,1223.23,1232.16,1148.08,1150.0,332603000.0,19819800000
199,2017-07-03,1273.21,1275.55,1204.8,1223.54,291256000.0,20627100000
200,2017-06-03,1267.47,1276.0,1264.6,1272.83,153657000.0,20531900000
201,2017-05-03,1254.29,1267.29,1238.06,1267.12,134127000.0,20316000000
202,2017-04-03,1277.43,1279.4,1230.51,1255.15,183270000.0,20688800000
203,2017-03-03,1250.71,1280.31,1250.71,1274.99,315739000.0,20253700000
204,2017-02-03,1224.68,1262.13,1215.62,1251.01,368275000.0,19829800000
205,2017-01-03,1180.04,1222.5,1179.69,1222.5,229057000.0,19104800000
206,2017-02-28,1180.72,1193.25,1171.82,1179.97,184956000.0,19113600000
207,2017-02-27,1163.78,1181.98,1163.38,1179.97,131570000.0,18837300000
208,2017-02-26,1144.27,1167.47,1130.2,1165.2,116486000.0,18518900000
209,2017-02-25,1170.41,1174.85,1124.59,1143.84,139961000.0,18939500000
210,2017-02-24,1172.71,1200.39,1131.96,1173.68,330759000.0,18974400000
211,2017-02-23,1117.27,1176.62,1116.96,1166.72,189454000.0,18075200000
212,2017-02-22,1114.8,1125.39,1100.55,1117.44,136100000.0,18033400000
213,2017-02-21,1079.28,1117.25,1076.93,1115.3,186869000.0,17456900000
214,2017-02-20,1048.69,1080.49,1041.69,1079.98,109478000.0,16960200000
215,2017-02-19,1054.76,1056.81,1043.46,1047.87,77423300.0,17056600000
216,2017-02-18,1049.21,1061.1,1046.96,1054.42,99073500.0,16964800000
217,2017-02-17,1026.12,1053.17,1025.64,1046.21,136474000.0,16589600000
218,2017-02-16,1007.65,1033.37,1007.65,1027.44,122277000.0,16289100000
219,2017-02-15,1006.21,1008.84,1001.58,1007.48,89759400.0,16264100000
220,2017-02-14,991.74,1011.51,986.47,1004.55,137946000.0,16028000000
221,2017-02-13,998.88,1002.1,976.0,990.64,100607000.0,16141500000
222,2017-12-02,1003.52,1004.76,996.92,999.18,67530000.0,16214700000
223,2017-11-02,988.9,1009.29,982.83,1004.45,102261000.0,15976700000
224,2017-10-02,995.63,998.9,946.69,988.67,190452000.0,16083600000
225,2017-09-02,1064.7,1088.99,953.34,994.38,407220000.0,17197100000
226,2017-08-02,1062.32,1078.97,1037.49,1063.07,201855000.0,17156700000
227,2017-07-02,1040.14,1061.93,1040.14,1061.35,146007000.0,16796600000
228,2017-06-02,1028.4,1044.64,1028.16,1038.15,111762000.0,16605400000
229,2017-05-02,1043.52,1043.63,1022.37,1027.34,114208000.0,16847400000
230,2017-04-02,1031.33,1045.9,1015.16,1042.9,155064000.0,16648800000
231,2017-03-02,1011.46,1033.87,1008.79,1029.91,201278000.0,16326100000
232,2017-02-02,990.0,1013.52,983.22,1011.8,145821000.0,15977800000
233,2017-01-02,970.94,989.11,970.74,989.02,150110000.0,15667900000
234,2017-01-31,920.96,972.02,920.96,970.4,164582000.0,14859700000
235,2017-01-30,920.15,923.05,919.47,920.38,78227300.0,14844900000
236,2017-01-29,922.07,923.42,919.15,919.5,60851700.0,14874000000
237,2017-01-28,919.81,923.91,919.81,921.59,68979600.0,14835800000
238,2017-01-27,918.36,923.22,915.85,919.75,125594000.0,14810400000
239,2017-01-26,902.39,919.33,902.22,917.59,131958000.0,14551200000
240,2017-01-25,891.92,903.25,891.69,901.54,120831000.0,14380700000
241,2017-01-24,910.68,924.14,892.29,892.69,111349000.0,14681400000
242,2017-01-23,925.5,928.27,916.74,921.01,73588600.0,14918800000
243,2017-01-22,922.21,937.52,897.56,924.67,116573000.0,14863600000
244,2017-01-21,895.55,927.37,895.53,921.79,111158000.0,14432000000
245,2017-01-20,898.17,899.4,887.01,895.03,86728400.0,14472100000
246,2017-01-19,888.34,904.61,884.34,899.07,105625000.0,14311700000
247,2017-01-18,909.37,917.5,858.3,886.62,225677000.0,14648900000
248,2017-01-17,830.95,910.56,830.8,907.94,155095000.0,13383900000
249,2017-01-16,821.78,834.53,820.27,831.53,82755200.0,13234600000
250,2017-01-15,818.14,823.31,812.87,821.8,71013600.0,13174300000
