jobs,gender,salary,age,number of workers,working hours
,,,,,
all,all,all,all,"10,846,459",163.6
all,all,all,~ 19,"39,078",148
all,all,all,20 ~ 24,"471,259",160.9
all,all,all,25 ~ 29,"1,316,411",164.3
all,all,all,30 ~ 34,"1,364,259",164.5
all,all,all,35 ~ 39,"1,543,573",164.8
all,all,all,40 ~ 44,"1,384,689",164.5
all,all,all,45 ~ 49,"1,452,996",164.7
all,all,all,50 ~ 54,"1,257,121",164.9
all,all,all,55 ~ 59,"1,032,294",163.9
all,all,all,60 ~,"984,779",156.5
all,all,800,all,"179,480",55
all,all,800,~ 19,"4,412",45.3
all,all,800,20 ~ 24,"16,082",57.6
all,all,800,25 ~ 29,"10,092",51.6
all,all,800,30 ~ 34,"7,322",54.9
all,all,800,35 ~ 39,"9,368",47.1
all,all,800,40 ~ 44,"12,304",47.9
all,all,800,45 ~ 49,"16,770",56.2
all,all,800,50 ~ 54,"20,659",56.9
all,all,800,55 ~ 59,"26,728",59.4
all,all,800,60 ~,"55,743",55.2
all,all,900,all,"50,079",75.5
all,all,900,~ 19,831,87.4
all,all,900,20 ~ 24,"4,537",81.6
all,all,900,25 ~ 29,"2,608",72.1
all,all,900,30 ~ 34,"2,982",60.3
all,all,900,35 ~ 39,"3,844",68
all,all,900,40 ~ 44,"4,536",72.8
all,all,900,45 ~ 49,"5,473",70
all,all,900,50 ~ 54,"6,009",76.3
all,all,900,55 ~ 59,"7,754",79.6
all,all,900,60 ~,"11,504",80
all,all,1000,all,"65,887",83.7
all,all,1000,~ 19,"1,117",102
all,all,1000,20 ~ 24,"2,920",88.3
all,all,1000,25 ~ 29,"3,934",84.7
all,all,1000,30 ~ 34,"5,284",78.8
all,all,1000,35 ~ 39,"8,527",78.1
all,all,1000,40 ~ 44,"8,550",81.6
all,all,1000,45 ~ 49,"7,282",80.7
all,all,1000,50 ~ 54,"7,504",83.8
all,all,1000,55 ~ 59,"8,085",88.7
all,all,1000,60 ~,"12,684",86.3
all,all,1100,all,"65,061",95.4
all,all,1100,~ 19,410,96.5
all,all,1100,20 ~ 24,"2,471",102.5
all,all,1100,25 ~ 29,"2,456",91.5
all,all,1100,30 ~ 34,"3,038",91.1
all,all,1100,35 ~ 39,"3,912",95.4
all,all,1100,40 ~ 44,"4,267",98.1
all,all,1100,45 ~ 49,"9,045",92.1
all,all,1100,50 ~ 54,"10,258",93.6
all,all,1100,55 ~ 59,"10,537",96
all,all,1100,60 ~,"18,668",97.3
all,all,1200,all,"61,834",106.6
all,all,1200,~ 19,743,121
all,all,1200,20 ~ 24,"2,857",103.3
all,all,1200,25 ~ 29,"2,178",103.7
all,all,1200,30 ~ 34,"2,121",99.4
all,all,1200,35 ~ 39,"3,572",102.5
all,all,1200,40 ~ 44,"3,668",102.5
all,all,1200,45 ~ 49,"6,522",102
all,all,1200,50 ~ 54,"8,135",109.6
all,all,1200,55 ~ 59,"9,447",106.3
all,all,1200,60 ~,"22,592",109.1
all,all,1300,all,"69,891",117.1
all,all,1300,~ 19,522,122.8
all,all,1300,20 ~ 24,"3,351",124.2
all,all,1300,25 ~ 29,"4,057",112.2
all,all,1300,30 ~ 34,"3,022",117.5
all,all,1300,35 ~ 39,"4,090",108.1
all,all,1300,40 ~ 44,"4,883",118.2
all,all,1300,45 ~ 49,"8,336",117.4
all,all,1300,50 ~ 54,"8,504",115
all,all,1300,55 ~ 59,"10,843",116.4
all,all,1300,60 ~,"22,284",119.2
all,all,1400,all,"89,830",123.6
all,all,1400,~ 19,458,135.7
all,all,1400,20 ~ 24,"3,559",125.8
all,all,1400,25 ~ 29,"5,210",121.5
all,all,1400,30 ~ 34,"5,800",117.8
all,all,1400,35 ~ 39,"5,300",112.7
all,all,1400,40 ~ 44,"6,547",124.6
all,all,1400,45 ~ 49,"8,643",123.3
all,all,1400,50 ~ 54,"11,014",122.6
all,all,1400,55 ~ 59,"13,667",124.8
all,all,1400,60 ~,"29,631",126.2
all,all,1500,all,"67,338",131.9
all,all,1500,~ 19,323,138.3
all,all,1500,20 ~ 24,"3,183",139.3
all,all,1500,25 ~ 29,"4,294",122.6
all,all,1500,30 ~ 34,"3,774",135
all,all,1500,35 ~ 39,"4,451",131.8
all,all,1500,40 ~ 44,"5,812",133.6
all,all,1500,45 ~ 49,"7,935",131
all,all,1500,50 ~ 54,"8,188",135.1
all,all,1500,55 ~ 59,"8,981",131.2
all,all,1500,60 ~,"20,397",130.9
all,all,1600,all,"112,229",142.1
all,all,1600,~ 19,513,143.5
all,all,1600,20 ~ 24,"7,621",144.8
all,all,1600,25 ~ 29,"10,035",144.7
all,all,1600,30 ~ 34,"5,108",144.5
all,all,1600,35 ~ 39,"7,189",138.9
all,all,1600,40 ~ 44,"9,556",138.9
all,all,1600,45 ~ 49,"12,983",141.6
all,all,1600,50 ~ 54,"14,886",142.1
all,all,1600,55 ~ 59,"15,943",142.2
all,all,1600,60 ~,"28,395",142.2
all,all,1700,all,"126,549",148.8
all,all,1700,~ 19,533,155.9
all,all,1700,20 ~ 24,"8,829",149.4
all,all,1700,25 ~ 29,"11,952",151.1
all,all,1700,30 ~ 34,"7,330",151.2
all,all,1700,35 ~ 39,"10,603",145.3
all,all,1700,40 ~ 44,"11,210",149.3
all,all,1700,45 ~ 49,"17,013",148
all,all,1700,50 ~ 54,"17,700",147.8
all,all,1700,55 ~ 59,"15,223",146
all,all,1700,60 ~,"26,156",151
all,all,1800,all,"469,875",155.7
all,all,1800,~ 19,"6,663",156.2
all,all,1800,20 ~ 24,"49,019",155.5
all,all,1800,25 ~ 29,"55,538",154.8
all,all,1800,30 ~ 34,"36,199",153.9
all,all,1800,35 ~ 39,"41,731",154.6
all,all,1800,40 ~ 44,"51,677",153.9
all,all,1800,45 ~ 49,"64,967",154.3
all,all,1800,50 ~ 54,"54,659",155.2
all,all,1800,55 ~ 59,"44,890",156.9
